Date,Actual_Price,AR_Prediction,Hybrid_Prediction,Absolute_Error,MAPE
01/01/2008,6144.35,6155.267553,6057.798842,86.55115759,1.408630003
02/01/2008,6179.4,6163.905991,6102.228389,77.17161056,1.24885281
03/01/2008,6178.55,6173.611172,6032.016888,146.5331119,2.371642407
04/01/2008,6274.3,6184.926286,6060.582064,213.7179357,3.406243497
07/01/2008,6279.1,6195.938238,6060.581479,218.5185205,3.480093015
08/01/2008,6287.85,6206.752614,6019.922112,267.9278882,4.261041345
09/01/2008,6272,6217.586545,6078.461858,193.5381424,3.085748443
10/01/2008,6156.95,6228.475654,6090.503076,66.44692397,1.079218184
11/01/2008,6200.1,6239.388367,6054.574278,145.5257218,2.347151205
14/01/2008,6206.8,6250.31922,6065.774222,141.0257778,2.272117319
15/01/2008,6074.25,6261.271721,6073.81001,0.439989727,0.007243524
16/01/2008,5935.75,6272.247207,6085.851476,150.1014762,2.528770184
17/01/2008,5913.2,6283.245333,6096.300396,183.100396,3.096468849
18/01/2008,5705.3,6294.265945,6109.131292,403.8312921,7.078178048
21/01/2008,5208.8,6305.309121,6122.124497,913.3244971,17.53425928
22/01/2008,4899.3,6316.374939,6131.351381,1232.051381,25.14749823
23/01/2008,5203.4,6327.463446,6118.440315,915.0403147,17.58543096
24/01/2008,5033.45,6338.574682,6153.838341,1120.388341,22.25885508
25/01/2008,5383.35,6349.708694,6076.776736,693.4267361,12.88095212
28/01/2008,5274.1,6360.865529,6175.524149,901.4241486,17.09152554
29/01/2008,5280.8,6372.045235,6097.364433,816.5644333,15.46289262
30/01/2008,5167.6,6383.247857,6204.02866,1036.42866,20.05628648
31/01/2008,5137.45,6394.473444,6121.602927,984.1529269,19.15644779
01/02/2008,5317.25,6405.722041,6226.613938,909.3639381,17.1021475
04/02/2008,5463.5,6416.993697,6144.12318,680.62318,12.45764034
05/02/2008,5483.9,6428.288458,6218.820038,734.9200378,13.40141209
06/02/2008,5322.55,6439.606372,6172.65131,850.1013101,15.97169233
07/02/2008,5133.25,6450.947486,6183.930983,1050.680983,20.46814364
08/02/2008,5120.35,6462.311848,6195.356786,1075.006786,20.9947911
11/02/2008,4857,6473.699506,6206.744444,1349.744444,27.78967354
